class,gender,age,apex_duration_positive,apex_duration_negative,apex_duration_full,apex_duration_ratio_positive,apex_duration_ratio_negative,apex_maximum_amplitude,apex_mean_amplitude_full,apex_mean_amplitude_positive,apex_mean_amplitude_negative,apex_std_amplitude,apex_total_amplitude_positive,apex_total_amplitude_negative,apex_net_amplitude,apex_amplitude_ratio_positive,apex_amplitude_ratio_negative,apex_maximum_speed_positive,apex_maximum_speed_negative,apex_mean_speed_positive,apex_mean_speed_negative,apex_maximum_acceleration_positive,apex_maximum_acceleration_negative,apex_mean_acceleration_positive,apex_mean_acceleration_negative,apex_net_amplitude_duration_ratio,apex_left_right_amplitude_difference
0,0,11,1.76,2.08,3.84,0.4583333333333333,0.5416666666666666,0.0028543276785228944,-4.983681407621905e-05,0.0008419347712006399,0.0008456239824888962,0.0009509024647346142,0.03704512993282816,0.043972447089422606,-0.006927317156594448,0.4572480601666727,0.5427519398333273,0.14271638392614472,0.16604658163166808,0.042096738560031995,0.04228119912444481,0.108287813761071,0.06081872048290804,0.0048106319268656685,-0.00871546633959926,-0.003607977685726275,0.017637327642557654
0,0,74,0.08,0.24,0.32,0.25,0.75,0.006760549437639929,-0.0012865364297735844,0.0037778665532676725,0.004904475402114379,0.004064250443571863,0.007555733106535345,0.029426852412686277,-0.021871119306150932,0.20430516148224057,0.7956948385177595,0.33802747188199644,0.6483204700617862,0.18889332766338363,0.24522377010571897,0.33802747188199644,0.3056955498950742,0.007209110543169306,-0.12006859591557988,-0.13669449566344333,1.1011464658573438
1,0,10,0.68,0.92,1.6,0.425,0.575,0.004417651570601255,-0.000435403236636939,0.0010342958904377517,0.0018435223750324914,0.00202776057368321,0.01758303013744178,0.0424010146257473,-0.024817984488305522,0.29312845118827513,0.7068715488117249,0.22088257853006277,0.47539631299651774,0.05171479452188759,0.09217611875162456,0.20146156530299608,0.44073936276811665,0.006303932020222879,-0.009044772029015435,-0.031022480610381903,0.3214916457050904
1,1,55,0.2,0.32,0.52,0.38461538461538464,0.6153846153846154,0.0012055764180733952,-8.333895776563516e-05,0.0006740887995786649,0.0006817397427542754,0.0005567029247037091,0.0033704439978933243,0.005453917942034203,-0.002083473944140879,0.38194761511799513,0.6180523848820049,0.06027882090366976,0.07141229391042225,0.03370443997893324,0.03408698713771377,0.06027882090366976,0.014935923819214825,0.0097933567320449,-0.02664625972549073,-0.008013361323618766,0.31668430747959064
1,1,19,0.36,1.28,1.64,0.21951219512195122,0.7804878048780488,0.0007125432096363182,-0.00023672643995930652,0.00030683985248504257,0.0005671492896787596,0.0005392326228443679,0.002761558672365383,0.018148777269720306,-0.015387218597354924,0.1320666812821149,0.867933318717885,0.03562716048181591,0.13545907940072932,0.015341992624252128,0.02835746448393798,0.0914287643143552,0.0941391248895862,0.012743969972082991,-0.013394116565584174,-0.018764900728481613,0.14398610515183155
1,1,39,0.32,0.64,0.96,0.3333333333333333,0.6666666666666666,0.0021988223009494767,-0.0002843914657924644,0.0006574440801502407,0.0009686028381081652,0.0009892939695873265,0.0052595526412019256,0.015497645409730643,-0.010238092768528717,0.25338451886889557,0.7466154811311044,0.10994111504747384,0.2064421250678683,0.032872204007512035,0.04843014190540826,0.10835181770143532,0.13423335954615423,0.005391587089735218,-0.010705974569688234,-0.021329359934434827,0.5861496245384572
0,0,36,0.96,1.04,2.0,0.48,0.52,0.0033673927273929483,4.674942542258927e-05,0.0008316822032692628,0.0006184680987841307,0.0007505103198793446,0.019960372878462307,0.016080170568387397,0.0038802023100749095,0.5538310738265807,0.4461689261734193,0.1683696363696474,0.08321642742740165,0.04158411016346314,0.030923404939206534,0.11256897437263991,0.05653615785652377,0.005656584152371529,-0.01738626713782789,0.0038802023100749095,0.034354131676441566
0,1,11,0.04,0.04,0.08,0.5,0.5,0.0017500047530072393,0.00014129148913682074,0.0017500047530072393,5.450688336539056e-05,0.0005068555663959483,0.0017500047530072393,5.450688336539056e-05,0.0016954978696418488,0.9697941081305751,0.030205891869424854,0.08750023765036197,0.002725344168269528,0.08750023765036197,0.002725344168269528,0.08750023765036197,-0.002725344168269528,0.0,-0.002725344168269528,0.04238744674104622,0.9378320298180753
0,1,27,3.2,0.16,3.36,0.9523809523809523,0.047619047619047616,0.0036841398154265903,0.0005535097126793244,0.0008574379975242602,0.000958600854614966,0.0008151095490955461,0.06859503980194082,0.003834403418459864,0.06476063638348095,0.9470601560916064,0.052939843908393534,0.18420699077132952,0.10573204435642691,0.04287189987621301,0.0479300427307483,0.21146408871285383,-0.027872921562427377,0.002230672999349394,-0.06245884398178303,0.03854799784731009,0.003888985440848306
1,1,42,0.36,0.04,0.4,0.9,0.1,0.0025063317532744156,0.0002837851259969036,0.0006532422352086965,0.0007710478489340034,0.0006956419362814833,0.005879180116878269,0.0007710478489340034,0.005108132267944265,0.8840569296424373,0.1159430703575627,0.12531658766372078,0.03855239244670017,0.03266211176043483,0.03855239244670017,0.12119613319143685,-0.03855239244670017,0.0,-0.03855239244670017,0.025540661339721327,0.3359514316354435
1,1,14,0.28,0.36,0.64,0.4375,0.5625,0.0011474456905473662,2.2453829174915713e-05,0.00047539278369630137,0.00028492436599188614,0.00033484850335959105,0.0033277494858741097,0.0025643192939269754,0.0007634301919471342,0.5647845621358232,0.4352154378641768,0.05737228452736831,0.03933115578126367,0.023769639184815068,0.014246218299594307,0.05737228452736831,0.02305420765219557,0.0034029308687619684,-0.00953622216116797,0.0023857193498347945,1.1195276724946224
0,0,50,0.24,0.32,0.56,0.42857142857142855,0.5714285714285714,0.0008589612003295777,-0.00013265648776106636,0.0005993167162857138,0.0009303673053481509,0.0008264918307025374,0.003595900297714283,0.0074429384427852074,-0.0038470381450709246,0.3257498711817919,0.6742501288182081,0.042948060016478884,0.18969859297274239,0.02996583581428569,0.046518365267407547,0.18969859297274239,0.03171935019407601,0.014757841384659132,-0.03689460346164783,-0.013739421946681873,0.06315151066023057
1,1,35,0.44,1.96,2.4,0.18333333333333332,0.8166666666666667,0.0014511512980718289,-0.0005444405134491724,0.0007049909063552901,0.0011582560444966064,0.0011215489889775667,0.007754899969908191,0.05675454618033371,-0.04899964621042552,0.12021340179928225,0.8797865982007177,0.07255756490359144,0.3185182430197553,0.0352495453177645,0.05791280222483031,0.11560068026409409,0.22939849591058215,0.010740495254456112,-0.008894430434816242,-0.04083303850868793,0.413179156441651
0,1,10,1.68,1.76,3.44,0.4883720930232558,0.5116279069767442,0.0022979648580297996,-1.4007794640028246e-05,0.0005293056977769775,0.0005612775264381369,0.0005120055601404635,0.022230839306633055,0.024696211163278026,-0.002465371856644971,0.47373186859223415,0.5262681314077658,0.11489824290148998,0.11071219989841619,0.026465284888848875,0.028063876321906846,0.11489824290148998,0.05437671673432787,0.005847490379408881,-0.018626875342989124,-0.0014333557306075414,0.08514463269303668
